,City Name,Country,Cloudiness,Lat,Long,Humidity,Windspeed,Temperature
0,Tuban,ID,52,-6.8976,112.0649,81,3.18,79.14
1,Lompoc,US,20,34.6391,-120.4579,16,12.66,69.8
2,New Norfolk,AU,65,-42.7826,147.0587,83,5.01,64.99
3,Butaritari,KI,98,3.0707,172.7902,83,10.98,80.55
4,Qaanaaq,GL,90,77.484,-69.3632,82,2.62,-5.53
5,Morristown,US,90,36.214,-83.2949,68,11.5,69.8
6,Yangi Marg`ilon,UZ,1,40.4272,71.7189,74,2.3,28.4
7,Kushmurun,KZ,97,52.4503,64.6311,96,7.56,13.71
8,Fairbanks,US,90,64.8378,-147.7164,71,6.91,0.0
9,Port Alfred,ZA,3,-33.5906,26.891,77,27.81,71.33
10,Busselton,AU,100,-33.65,115.3333,76,4.0,64.99
11,City of San Pedro,PH,20,14.35,121.0167,83,4.61,82.99
12,Sørland,NO,98,67.667,12.6934,73,28.68,41.94
13,Eureka,US,0,40.8021,-124.1637,68,5.99,57.0
14,Barrow,US,20,71.2906,-156.7887,70,6.91,-11.2
15,Takoradze,GH,88,4.8845,-1.7554,87,8.21,79.39
16,Altay,CN,96,47.8667,88.1167,70,2.53,12.83
17,Dikson,RU,100,73.5069,80.5464,87,21.65,-14.73
18,Ponta do Sol,PT,40,32.6667,-17.1,67,8.05,60.8
19,Coquimbo,CL,40,-29.9533,-71.3436,82,11.5,62.6
20,Atuona,PF,5,-9.8,-139.0333,78,15.64,80.26
21,Rikitea,PF,22,-23.1203,-134.9692,81,13.2,78.08
22,Emba,KZ,26,48.8264,58.1442,93,7.25,0.91
23,Carnarvon,AU,100,-24.8667,113.6333,83,5.75,73.4
24,Thompson,CA,1,55.7435,-97.8558,54,14.97,-9.4
25,Hofn,IS,88,64.2539,-15.2082,74,9.53,38.35
26,Salinas,US,1,36.6777,-121.6555,24,5.75,69.8
27,Nāzirā,IN,31,26.9167,94.7333,68,1.92,63.3
28,Ushuaia,AR,20,-54.8,-68.3,61,17.27,46.4
29,Punta Arenas,CL,0,-53.15,-70.9167,43,13.8,51.8
30,Marsá Maţrūḩ,EG,40,31.3525,27.2453,72,11.5,59.0
31,Hobart,AU,75,-42.8794,147.3294,88,6.91,64.99
32,Bredasdorp,ZA,64,-34.5322,20.0403,88,13.8,69.8
33,Paamiut,GL,100,61.994,-49.6678,92,14.61,12.04
34,Ambanja,MG,76,-13.6833,48.45,87,3.76,73.78
35,Hermanus,ZA,0,-34.4187,19.2345,84,11.99,72.0
36,Raton,US,90,36.9034,-104.4391,27,11.5,35.6
37,Hilo,US,90,19.7297,-155.09,65,9.22,78.8
38,Cabo San Lucas,MX,40,22.8909,-109.9124,41,9.22,75.2
39,Manzhouli,CN,0,49.6,117.4333,77,2.68,-9.94
40,Kismayo,SO,51,-0.3582,42.5454,86,12.39,76.8
41,Mataura,NZ,58,-46.1927,168.8643,76,1.99,69.01
